essay_id_comp,y_pred_chatgpt_fewshot,y_true,gender
42320FFF7304,2,2,F
C2E4971F69E9,2,2,F
CD53C96A70EB,2,1,F
84DDA9460E91,1,1,M
82ED6087717D,1,2,M
81F515606B77,2,2,M
FC27ECB471A4,1,1,M
4AF98AC12423,2,2,M
02D6A23E0CEB,2,1,M
57280EFE34F4,1,1,M
1DC7F82830D6,2,2,F
7BF2EA4A164C,2,3,M
28220DC55DA8,2,2,F
FE9AB60822CA,1,2,M
1F742C41EF9D,2,2,M
58B7F73691D2,2,2,M
73698CA22462,2,1,F
B3C454E2E3E0,2,2,F
F86F94DCEB33,1,1,M
23701C1FBDD2,1,1,M
0E8E64439570,1,2,F
678247627A95,1,2,F
1D549C77CB16,2,3,M
01B33F504006,1,2,F
1ADE56C19ACC,1,2,M
453782F3E15C,2,1,M
4AE962B7BDAA,2,2,F
BDDE34DAF883,2,2,F
4A2B8999223F,2,2,M
B9B5EC82396D,2,2,F
BE8615F85409,2,2,M
CE15197AE9CC,2,2,F
A803172BF35E,1,1,F
9F9C9D1E2F5C,2,3,M
4BB49667767A,1,2,M
20E320AA966E,2,2,F
0C44D7D7F0FD,1,2,F
8458F0287115,2,2,M
AB8D8AED4B28,1,2,F
2771AA5E572D,2,2,F
84F179DFCFC9,2,2,M
426E5A215942,2,2,F
887BBBE0CCC5,1,1,F
8AB79B5BD3DB,1,1,M
76BB36EE4398,2,3,F
B4F3E5D8D7D2,1,2,M
D19AB551E2B9,1,1,F
50903131CDBF,1,1,F
2A4FCD86BA0D,2,2,F
B980560F68EA,1,1,F
8DFB375E3159,1,2,F
26077CB12CB0,2,3,M
8C93D556C297,2,2,F
5DA51172F93D,2,2,F
FF89B80BC4D1,2,2,M
7B1E55213D00,2,2,M
59A4AD465412,2,2,F
440A223D41D5,1,2,F
5AF04068D0B9,1,2,F
51A07E3D2C09,2,1,F
043BB809B52A,2,2,M
53EAE8EA05E8,1,2,F
78053022305D,1,1,M
5E75A1B48D17,1,1,F
7915BE25917E,1,1,M
F0F0CD67E436,1,1,M
3936CD2D8CF3,1,1,F
E21ABDF1E3F2,2,2,F
8F0F9D00B973,2,3,M
35B8D5BA3032,1,1,M
66D1803B4CEF,1,2,M
7929B0DC839B,2,2,F
E4F9AEC51ECF,2,2,M
2F53346B4F60,2,2,M
8A533A6E8808,2,2,M
7654EDDCC0DA,2,2,F
17759DF663A3,2,2,F
0AB5C0C20670,1,1,M
E201F3FE28F7,2,2,F
21D91DF16B23,2,2,F
95143E5A37A2,1,1,M
7DCCED5150F8,2,3,M
CB86688CF491,2,1,M
B5CE3C6DAAD9,2,2,M
996A88D0CAF2,2,2,M
CE33B0E35C38,1,2,F
F304843E97FC,1,1,F
4B4A4368C5DF,2,2,F
39AF0292F9B3,2,3,F
DDEEC49D2390,2,1,M
353224899C05,2,2,M
ABA8A01BB2B6,1,2,M
629441708CF0,2,3,F
68F6A6DB3E6C,2,1,M
5C63C1EE83BC,1,2,M
CF20C9C05B19,2,1,M
DCCF6739067A,2,2,M
F280DC36C974,1,1,F
675CA464322A,2,2,M
ADFF10967768,2,2,M
BB7A76089910,2,2,F
3A42F1C7A5FA,1,1,M
8459600E47B0,2,2,F
2CD086E87F2D,2,2,F
D84737B6CDEB,2,1,F
026FBC564EBC,2,2,M
4DB817B0DE25,2,3,F
D7E3E2DE0F87,1,2,M
75B94E37D75A,2,2,F
13E5109D10F2,2,3,M
CF5875628D6A,1,1,M
93E4D5E8B5DA,2,2,F
0EFC10AF9D22,1,1,F
BB95D06EF8D4,2,2,F
5A490FAF2476,1,1,M
6C8029E04B6B,1,2,F
5A1EAD973EF6,1,2,M
04F6650C12AD,2,1,F
FD8570E71F4A,1,1,M
1102C9C87AE4,2,3,F
7154C7EE3051,2,2,M
BE9881C4920A,1,1,M
F324DBEBCAFA,2,2,M
F13486021395,1,1,M
C6FAF1DE9A21,1,1,M
0F8513BFBB6C,2,2,M
7AA2C0834BE1,2,2,M
9483857CAA80,1,2,F
B0FD1E688820,1,1,M
6AD39619EC45,2,3,F
AA742085CBE3,1,1,F
58E92DF92D8C,2,2,F
9251250050B9,2,2,M
D8AFB0AE804B,1,1,F
03FCE3C04ADF,2,2,M
0C710606DB95,1,2,M
045BB2364215,1,2,M
4E13DC4DDE31,1,1,F
2C3D6DFE6768,2,2,M
716C24478063,2,2,F
1B2470F552CC,1,1,F
3FD3D46D72B7,1,1,M
13B371557529,2,2,F
84E06630FA2B,1,2,M
FEB37659C3F1,2,2,M
2410D609BA60,1,1,M
E97D24AC0CB6,2,2,M
C0E8831116C3,3,3,M
726ADA01701F,1,2,M
B0A08E744DF1,2,2,F
14236F6FEAD6,1,2,F
477F24CDDE0B,2,2,F
1C2F6CE45E18,2,2,M
E4B4D7DE60E3,2,2,F
B4143F38D439,2,2,M
6194CD3215CB,2,1,M
2EEB19BB460B,1,2,M
13081A20D022,2,3,F
016A5550CAF7,2,2,F
7B7838BB9DD5,1,2,M
06E5ACD7F079,2,2,M
DC9580266A0B,1,2,M
E1AEAF1C9CBB,2,2,F
7F513E5DA945,2,2,M
06B8BE0A0B31,1,1,M
35070B805E8B,1,1,M
BFFD798EAE7B,2,2,F
34CD62D72CC1,2,2,M
F7EF0A4E3499,1,2,M
80D0A3C7B588,2,2,M
B2E85935CE19,2,1,F
D7725D157042,2,2,F
02F012AAD5CB,1,2,F
D7DF114BB271,1,2,M
C30DD2DB1F70,1,1,F
280BCD5968F0,2,2,F
4FC744EC5BDB,1,1,M
A1C8EEF8BF9C,1,1,F
EF70A0E7826B,1,1,M
BD300B07564D,1,1,M
99DE2E3E96E7,1,2,F
A4B3BA20BDA9,2,2,F
C36FC4CCA47F,2,2,M
4BE3EE3D73A6,2,2,M
8DFC6529608B,2,2,F
6A58F94673E0,2,3,M
B07E96B9767C,2,3,F
320FD601DD64,1,1,M
2AB363264AE0,1,1,F
D2E41252A109,2,2,M
2FD5E4852667,1,1,F
1499841F4EB8,2,2,F
7DE7AE0BEF8C,2,2,F
86A3A166AA67,1,1,F
E8DD7458130E,2,2,M
67D94C292D8D,2,1,F
4AEA13D034F3,1,1,M
A1A778253D39,2,2,M
A56E412B7295,1,2,M
8E7C4FE2ECE9,1,1,M
508DB90F68C7,2,2,M
172FD130ABD5,1,1,F
E627C066A0F1,1,1,M
8E516CABD84A,2,2,M
BAE3CED482E7,2,2,F
D6EEEBA9A999,2,3,F
8BA7D8704DB0,2,2,F
253D33164BE5,1,2,F
897B3478DC01,2,2,M
25FA01853A35,1,1,F
00E2ACFF9A93,2,1,M
1A26AFD79998,1,1,M
FDDD74678C7A,1,1,M
1CC9DABCE4B4,2,3,F
D354672BB38F,1,1,M
6524B17E5113,2,2,M
508DCB180063,1,1,F
0ABF4F99E166,2,3,M
86ADA132EC8A,1,1,M
771C64337FED,1,2,M
E3E4C29C6F23,2,2,F
7C9AA3346458,1,1,M
FB9EFC545072,1,1,M
1807DD253B30,2,2,M
2AD8252C829F,2,3,F
0B1439CE0522,1,2,F
928548A07586,2,2,M
BA0C557A52F4,2,1,F
AF2AF8E14196,1,1,M
8451B8C046C3,1,2,F
1FC7106860A2,2,2,M
2275D39DC5AD,1,1,M
A6EBC95CB162,2,3,F
DD627EE5CB27,1,2,M
E7C5E12F4E84,1,2,F
58EB875E2FB8,1,1,M
FAE25123869F,1,1,F
7463CFA4BF4B,1,1,M
2F3A03CE8035,2,3,M
1907A263B30B,2,2,M
163E5475BF19,1,1,F
F413F750773D,1,1,F
E5CFC05647BA,1,2,F
61BABBBB9822,1,1,M
F8FFE84D9E9E,2,2,F
39DA395A5C1C,1,1,M
E743F9AC8BBE,2,2,M
A950C6EE7BD3,2,2,M
4CFC9FAB45B8,2,2,M
33B1D3B931EF,1,2,M
3D5AB2F50025,2,2,F
3584B5CAA2E4,2,3,F
60B0AC857093,2,3,M
350B830D59EE,1,2,F
4354903A1D8A,1,2,M
13154AD7E3C6,1,2,F
69881464230,2,2,F
165C6F67BCD7,2,2,M
