essay_id_comp,full_text,gender,holistic_essay_score,holistic_essay_score_3cat
EAF0C3F4B2B3,"For me this would be really useful in my math class, I tend to not be truthful when the teacher askes me if I understand what she had just said manily because I don't like to rase my hand. If we had this in school, in the classrooms the teachers could just go back and look at the computer and see if we are really understanding what she is explaining. I feel as if everyone could pass if the teacher knew what everyone was understanding and if she needed to stay on a topic a little while longer. Not only would this come in handly for school related things but if a teenager or kid was smiling all the time but really felt down the teachers would know and could talk to the person on the side. It could help prevent school shooting, suicide, self-harm, being afread of not passing and more. This could really take mankind to the next leavel and push us further, mentaly.

This could save milloins of lifes if we brought this into schools. people could fix there grades and not be ashmed of not knowing the answers to the questions. "" The proces begins when the computer constructs a 3-D compurer model of the face; all 44 major muscles in the model must move like human muscles. Movment of on or more muscles is called an action unit."" ""Eckman has classified six basic emotions- happiness, suprise, anger, disgust, fear, and sadness, and then associated each with characteristic movments of the facial muscles. For exaple, your frontalis muscle."" therefore teachers could tell if we dont understand a topic, pulling us aside later on before moving on and letting us get extra help. They could pull us aside and ask us if everything was going alright at home if we look really upsed or sad, anger, or even disgust.

We could change lifes if we get this, there wont be school shootings and it could be more safe for kids to go to school and we wouldn't feel like it could be our last day. We as students have the right to feel safe, to feel like we can acomplish what we need to acomplish without feeling ashamed. This could be a new start to a new begining. ",F,3,2
4E2D058C025D,"I think the FACS (Facial Action Coding System) should be used in classrooms because it would help to see the emotions of kids. Like see if they need help or if they aren't feeling good. Mostly things like that. You could also use it to see if kids are lying or not when they get in trouble and have to go to the principle or when they get in trouble at home.

Mona Lisa: 83% happy, 9% disgusted , 6% fearful, and 3% angry! When Mona Lisa was painted in 1503 we had no clue how she was really feeling. But with the FACS it is now easy to see how she was feeling. That is a good thing because it could help us in the future with life or death situations.

When we ask questions like ""Can we actually 'calculate' emotions like we calculate math problems? or ""How can a simple computer recognize the subtle facial movements we humans have to use and show how we feel? shows that we humans need this type of cool technology in the future to make things easier than what they are nowadays!",F,2,1
301C472189C7,"Yes, I believe this technology is very useful. This could be used for a lot of different things, such as online and in the classroom. As it says in the article, ""If you smile when a web ad appears on your screen, a similar ad might follow. But if you frown, the next ad will be different."" This could totally change the internet, if you are'nt liking something you could just frown and it would either change it up or put something diffferent on the screen. Or for another instance, if you are watching youtube, and if you are'nt liking your video you just frown and they would show you a new video.

This technology also can help in the classroom, if you are doing something online for a class and you got bored, the screening would change whatever was on your screen into something more entertaining that you may like, Dr. Huang predicts, ""A classroom computer could recognize when a student is becoming bored or confused, then it could modify the lesson, like an effective instructor."" I would like to see this happen, especially in the classroom. If i was doing a research project or a test or just an assignment online, i would rather have it change it to something more interesting. Although this could also hurt student academically, especially if they sratrt getting behind on their school work.

This technology could also work for video games, if you are playing the same games over and over the console would be able to switch it up and allow you to play new/different games. This could definitely help improve video games, even if you did'nt own the game you wanted to play, it could let you play a free trial to see if you want to go ahead and buy it. For example, if you are playing a basketball game and start to get bored, the facial screening will see that and switch you into a different game. This technology could also put you more into the game in a way, it could possibly scan your face and put you into the game as one of the main characters.

This facial screening technology is really cool, it just seems surreal that a computer can tell you exactly what empotions you are feeling. Just like with the Mona Lisa picture, the screening said that she was 83% happy, 9% disgusted, 6% fearful, and 2% angry. This screening can tell your exact emotions with exact percents, it can do all this just through a screen. The process begins when the computer constructs a 3-D computer model of your face, and scans all 44 major muscles,

Overall, I believe that this technology is very valuable to society, I mean being able to read emotions just rhough a screen is amazing. Dr. Paul Eckman did an amazing job creating F.A.C.S. (Facial Action Coding System), this system can classify six different emotions. Those emotions are happiness, surprise, anger, disgust, fear and sadness, and this system can also associate one of those emotions with your faciaL muscles.   ",M,4,2
8619A1A29C42,"Technology is seeming to make a break through almost every day as we can now use a computer to tell us how we're feeling. This could help us in many ways as to avoid miscommunicatiom often seen in classrooms and help teachers understand their students better. Let me show my thought process on why this new technology should be used in schools.

As said in the passage ""Most human communication is nonverbal, ,including emotional communcation."" This shows that having another source to either confirm or challenge your preception of what a student is feeling can help when dealing with situations that need clear communication. Many problems occur through miscommunication and this new technology can help us disyper what a student is feeling. This will allow for us to create a better atmoshpere in which students will feel understood and supported.

While people may say this could be an intrustion of their privacy as many students don't want people to know thier feelings and may feel exposed and as if they wouldn't have any privacy. "" We humans perform this same impressive ""calculation"" everyday"" this new technolgy is only helping us prove what we may already know as we can tell by looking at a face what feeling they're most likley feeling. Studies have shown that adults and teenagers use differnt parts of the brain to figure out what a person is feeling and casues huge miscommunication as they both may precieve a different emotion on eachothers face.

These are the reason why I believe that this new technology can be useful in schools by clearing up a lot of nonverbal communcation.    ",M,3,2
77C02EBB6626,"I think its a good idea to have emotional expression in school and here's my reason why , its good to have something that with help a student to become susseful in life. The way it can help is that, it can help to help a student by if they get confused, loss and bored. the emotion type senear can let the teacher know or the computer know is that the student is sturgging, In the article at (pg 6) it said ""a classroom computer could recognize when a student is becoming confused or bored,"". the computer can also can help someone in class with depression or saddness and the school can help them. it can read the muscule on the face to tell which face expression its doing. in (pg8) it say that "" muscles called orbicularis""

""zygomatic major and a different muscule,"". In conclusion i think its a good idea to bring out in to the world, also help out in class.",F,2,1
6C3654E9F5BE,"Making a claim against reading students emotions. In my opinion could be a bad idea. That might be taking technology a little too far. They caculated what the painter painted Mona Lisa feelings would've have been. Thats insane and just a little too far. If they can read a paintings expressions from several years ago. I wouldn't want them reading a humans facial expression. Thats my thoughts on that.

It says they can caculate humans expression like math hoemwork in paragraph 2. It begins with a computer that constructs 3-D computer model of the face. All 44 muscles of the human face must move like human muscles. Each humans facial expression is universal according to the statement in paragraph 4. It's pretty amazing to think about then again it's kind've scary humans can do that reading. I perform the same expressions every day well every one does it isn't just me. It isn't very valuable in my opinion either because maybe if their emotional problems are different then they need to be what are they going to do about it. It will just read his facial expressions won't change anything. That would also cost a lot of money to have in each certain classrooms and also a bunch of money to make the 3-D computer.

In paragraph 6 it says if your frowning and a ad pops up it can read that and if you smile a certain ad would pop up. Just crazy to think about. It says in paragrpah 7 your home Pc couldn't handle reading that of course and they are expensive enough. So that would be much more costly even.",M,2,1
1134E5131492,"The technology use to read emotional expressions of students can be valuable. The reasons why i think this is because if you can calculate emotions you can see from all the emotions like, happiness, surprise, anger, digust ,fear and sadness. All of these have their own facial muscles. Like when your surprised your eyebrows rise which is your frontalis par lateralis muscle. Another reason why this might be valuable is people who have emotion problems. It can help doctors determine weather its a muscle that isn't working properly or some kind of nerve. It can be helpful to people who are depressed some people may have trouble showing their emotions. They can show a web ad and ifyou smile, a similar ad migh follow. Which that is very true. Some people aren't intrested in things as others are. A classroom computer could recognize when a student is becoming confused or bored. This is also an amazing thing for the perfessors out there and teachers. Some students are shy and won't go up or raise there hand for help. I was like this all the way up to my sophmore year of highschool and that isn't very good. That's why some students are struggling at this very moment. Their confused, needing help but won't speak up. Knowing one or more of your students are confused will help you. People can tell by your expressions what and how you are feeling. By trying to see if someone is trustful look at how they smile. The mouth being stretched using the zygomatic major and a different muscle, the risorius. Faces don't lie to you. It satisfying how when practicing or moving your facial muscles not only express emotions, but also may help produce them. Puttingna smile on your face will help you alway be happy and keep one on your face. It crazy how much you can learn by just reading something with so much science you never would have known. This computer device will help to determine what makes a person feel the way they feel which is a brilliant idea. Because not only is it useful for entertainment but also for serious problems or issues. I agree that the use of this technology to read the emotional expressions of students in a classroom is very valuable.   ",F,3,2
305F26C237E3,"I am all for this new technology to read peoples emotions. If we could read their emotions it would be easier to help people to get better if they are in a bad place in life. It would help so many people that are depressed and need help but afrad ask for it. And when people get help with their emotions they become more stable then they were before.

Im all for the values of using this new emotion technology because you tell if people are faking a smile. You can tell because when you fake it you dont use the same muscles as when you really smile. When you fake smile the muscles you use are zygomatic major that make your mouth stretche sideways and the risori. But when you really smile you use the muscles called zygomatic major that begin at your cheek bones and life the corners of your mouth. The other muscle you use is called orbicularis oculi pars palpabraeus which makes crow's-feet around your eyes.

This is way i think we should use this technology in the futer. It could help with so many things. People could get the help they need. Life would just be so much better if we all could understand each other. This will be one of the best things you can do for someone needs and wants help to make their life and friends and familys lifes better. ",F,2,1
F91682599FC0,"do you want to have your computer reading your emotions? well new software has came out were it can actually read emotions based on your face muscles. I think it would be a great idea because if we get bored then it can change pace or something to make us energisted and the computer could help if you are confused.

the computer could change its pace so we dont get bored. for example if you are sitting in math class working on your computer and you start falling asleep, but if we had this in our class. the machine will keep us awake. ""a classroom computer could recognize when a student is becoming bored ...""(6).

second if you get confused and a teacher is helping another student your computer could help you with that problem, but i do see where other people are coming from with it envades privacy and it not ethical but i don't belive it for a minute.

in conclusion, computers can help us with our every day lives with students being confused or bored, and even hospitals someday. till then lets keep innovating.             ",M,3,2
072BF1F05F66,"According to the article ""Making Mona Lisa Smile,"" there is a new technology called the Facial Action Coding System (FACS) that enables computers to identify human emotions. This technology is relatively brand new. It creates a 3-D computer model of all fourty-four major muscles in the face that move like human muscles as well. Then, psychologists have classified six basic emotions that are associated with different movements in the facial mucles. This new technology could result in many benefits in our community as well as all around the world. The use of the Facial Action Coding System to read the emotional expressions of students in a classroom is valuable because it would allow teachers to know when students become confused, are being dishonest, or are depressed and possibly having problems at home.

In the classroom, it is common for students to tend to get confused while being taught a lesson. It is also common for students to get bored and become uninterested in the lesson at hand. With the Facial Action Coding System, teachers can make sure that their students are acquiring the best education possible and absorbing all of the material. Teachers can adapt their teaching style according to how students respond to the lesson being taught. This way, both the students and teachers can be on the same page, making education easier for students and teachers. The article states,""'A classroom computer could recognize when a student is becoming confused or bored,' Dr. Huang predicts. 'Then it could modify the lesson, like an effective human instructor,'"" (D'Alto). In this quote, Dr. Huang is telling the reader how this new technology could possibly develop into something much bigger where it can modify the lesson for students who become bored or confused, making it an easier and better experience for the student.

School behavior is a big part of a students education. If a student is constantly acting out and misbehaving it could affect his or her education pretty badly. Although, that is why Facial Action Coding Systems could also be very useful in a classroom environment. The technology could be able to detect if a student is being dishonest, which could prove very handy when dealing with situations with delinquents and trouble-makers. In the excerpt, the author writes, ""To an expert, faces don't lie; these muscle clues are sometimes used to spot when a ""smiling politician or celebrity isn't being truthful,"" (D'Alto). In this quote, the author tells the reader about some facial muscle clues that allow experts to tell if a famous figure is being dishonest. These are some of the same facial clues the FACS looks for.

Finally, The FACS could help find if students are depressed or having problems at home. The machine can detect six different emotions, including sadness. This could prove useful when dealing with distressed students. ""Eckman has classified six basic emotions-happiness, surprise, anger, disgust, fear, and sadness-and then associated each with characteristic movements of the facial muscles"" (D'Alto). This quotes tells the reader about the emotions the machine can read.

The use of the FACS to read the emotional ",M,5,3
50D262EA8ADB,"In ""Making Mona Lisa Smile"", the use of Facial Action Coding System technology to read the emotions of students ina classroom is valuable.

This is shown through the author's description of the benefits of being able to read expressions of students, as well as the increased understanding of emotions that can be uncovered due to this technology.

Recently, Prof. Thomas Huang and his colleague have developed ways for computers to better communicate with humans through a program designed to calculate noverbal human emotions.

This technology has proved able to recognize expressions of humans, and so has expanded the frontiers of human communication with technology.

In particular, this advancement could provide benefits in the education system.

The reading of expressions in studnets would prove beneficial to the educational process of understanding what content best suits a student's learning ability.

Dr. Huang predicts, ""A class Room computer could recognize when a studnet is becoming confused or bored... Then it could modify the lesson, like an effective human instructor"" (D'Alto 6).

This shows how the technology would allow a computer to effectively ""recognize"" a students emotions, and correlate or ""modify"" the corresponding lesson to better fit his or her learning.

It would provide an ""effective"" tool for intructors to be able to better understand what their student needs in order to succeed.

Expressions or feelings such as ""confusion"" or being ""bored"" would allow teachers to better invest time and effort in teaching topics that best fit with these emotions, and so it would help make teaching easier in response to the needs of students.

The technology would also continue to increase knowledge of human emotions through interpretation of the many expressions such as nonverbal communication.

In turn this would help with the education of students, as an increased understanding of human feelings would allow the system to acknowledge issues or needs that specific students have.

Being able to match their emotional abilities with the best subject for them to succeed in would be an option.

This would provide teachers with a system that best maximizes potential and limits issues in the classroom that involve expression or emotion.

D'Alto writes, ""Eckman has classified six basic emotions - happiness, surprise, anger, disgust, fear, and sadness - and then associated each with characteristic movements of the facial muscles"" (D'Alto 3).

From this we can see that if implemented, this technology could help identify primary human emotions such as ""happiness"" or ""anger"".

This would allow computers to identify ""characteristic movements"" and translate this into emotion.

With this technology at our disposal, we can better understand how people in general portray their feelings through the anatomy of their face, and better understand the identity of these emotions in the physical aspects of expression.

This understanding would in turn allow students and teachers to better understand their emotions, and so best match their tendencies to educational programs or classes.

Continuing with the idea of better understanding emotions in the technology would also prevent issues relating to student behavior such as academic honesty or problems with stress or anger, as understanding the emotional expression conveyed by students would help implement systems to better prevent these unwanted actions.

For instance, the author writes, ""But in a false smile, the mouth is stretched sideways using the zygomatic major and a different muscle... To an expert, faces don't lie; these muscle clues are sometimes used to spot when a ""smiling"" politician or celebrity isn't being truthful"" (D'Alto 8).

This is an example of the increased benefits of this technology, and particularly pertaining to education, it can be used to detect whether students are being honest or ""truthful"" through their expressions.

Although it is not guaranteed, the technology would still provide another option in understanding what studnets feel or what they are truly going through.

It would allow schools or instructors to change their teaching or development programs in order to relieve studnets of unwanted emotion, and it would also help benefit the disciplinary system, as being able to detect true emotions could help distinguish one issue from another.

Overall and in conclusion, a better understanding of human expression by technology provides an improved tool for instructors to help with the learning and development of students, as this allows them to fit learners' studying emotional tendencies with that of the best option or way of teaching.",M,4,2
98B35B64B4F7,"I believe that this technology is very usueful. This technologhy would be so amazing to have around, it would help students and teachers out so much. it can tell when you are bored, happy, sad, scared, worried, and can even tell when you do not like an ad. It could really help out in classrooms and other places.

For example, if you are sitting in class and you are doing something online, the computer can tell if you are bored and adjust itself so you are more into what is going on, or the teacher can come over and help you out too. It could also sense when you do not like an ad, all you have to do is smile or frown at the ad, if you smile you should get more ads like it, but if you frown it will try to find an ad you will be interested in.

Another example would be if your friends are worried about you because they cannot tell how you are feeling, then they can put you in front of a computer and the computer can tell them your mood so they can try to help you, or if you are going to see a therapist for help with a mental issue or anything, they could set you in front of a computer so they know your mood without you trying to explain yourself to them.

One final example would be if you are worried or stressing out about something, the computer could tell someone so they can take you somewhere so you can just chill and relax and forget about everything that you are stressed or worried about, then you will be able to go back to whatever you were doing and complete it.

This unique piece of technology can help out with so many things. It can tell when you are upset, scared, worried, angry, and bored. Every classroom should have one of these. It would make being able to read people so much easier. It would also keep the students interested.",F,3,2
81EE0A1746B9,"I agree with the article because the text say "" according to some new computer software that can recognize emotions' which mean they can tell how a picture is feeling""

I know, its weired lmao, but its also true. the text also states that

""The classroom computer could recognize when a student is being confused or bored"" the class got a new update to tell how people are feeling.. MIND-BLOWING.

I thiink everybody and everyschool should get something like this it's a really cool thing,

You would really know how people really feel if we got something like this. Good way to boost up techology as well, I'll say."" Shes 83 percent happy, 9 percent disgusted, 6 percent fearful, and 2 percent angry, no thats not your science teacher, grading your latst lab, it is the Mona Lisa "" so you're saying a computer fugured that out? WHAT!!!! if a compute can do all that then freaking duhh we need that in this broken world. we wouldn't even know how to act if we got this. ",F,2,1
